kind,series,events,vol_per_market,brier_model,brier_market,d_brier,forecast_mae
high,20,1366,15943.176,0.6957,0.6305,0.0652,1.7902
low,20,1359,2645.9934,0.6387,0.5854,0.0533,1.81
